participation,value
meeting,6
meeting,6
meeting,7
meeting,3
meeting,5
meeting,3
meeting,4
meeting,4
meeting,2
meeting,2
meeting,7
meeting,7
meeting,5
meeting,6
meeting,5
meeting,3
meeting,5
meeting,4
meeting,3
meeting,2
meeting,2
meeting,3
meeting,3
meeting,4
meeting,7
meeting,3
meeting,5
meeting,2
meeting,4
meeting,4
meeting,4
meeting,4
meeting,5
meeting,6
meeting,6
meeting,2
meeting,4
meeting,3
class,3
class,6
class,6
class,1
class,6
class,4
class,5
class,4
class,2
class,3
class,6
class,7
class,5
class,4
class,7
class,5
class,4
class,2
class,6
class,2
class,2
class,2
class,5
class,2
class,5
class,3
class,4
class,3
class,2
class,6
class,1
class,3
class,5
class,5
class,6
class,1
class,3
class,4
