participants,age,offlineExperience,offlineActiveness,onlineExperience,onlineActiveness,importanceNVOff,FrequencyNVOff,usefulnessNVoff,importanceNVOn,frequencyNVOn,usefulnessNVOn,importanceEOn,frequencyEOn,usefulnessEOn
0,27,6,7,7,6,6,5,6,5,5,6,3,2,5
1,27,7,5,5,3,6,6,7,6,2,5,2,2,5
2,26,7,7,7,7,7,7,7,7,2,6,6,6,7
3,26,7,4,4,2,6,7,7,6,7,7,4,1,6
4,25,5,5,5,4,7,6,6,5,4,5,4,5,5
5,25,5,7,7,6,5,7,7,5,3,7,4,3,5
6,24,6,4,6,3,6,5,7,5,5,7,6,2,6
7,21,6,5,3,4,6,6,5,7,6,5,4,4,4
8,28,7,7,7,7,7,7,7,6,5,6,6,5,6
9,26,7,7,7,7,6,6,4,2,2,1,6,1,1
10,27,6,5,6,5,6,6,7,6,5,6,5,4,6
11,24,7,7,7,7,7,7,7,7,7,7,7,5,7
12,28,6,6,5,5,7,6,7,5,5,5,5,3,5
13,23,6,6,6,4,7,7,7,4,5,4,6,5,5
14,25,7,7,5,3,7,7,7,7,3,5,6,3,6
15,27,4,7,6,4,7,7,7,3,2,3,1,2,2
16,25,3,7,6,7,6,5,6,3,7,7,2,1,5
17,26,5,6,6,6,7,7,7,7,7,7,4,2,5
18,26,7,5,7,4,7,6,6,5,4,5,3,1,4
19,26,7,7,7,7,7,7,7,7,7,7,2,1,1
