participants,order,measure,value
0,first,systemNovelty,6
1,first,systemNovelty,7
2,first,systemNovelty,7
3,first,systemNovelty,5
4,first,systemNovelty,7
5,second,systemNovelty,4
6,second,systemNovelty,5
7,second,systemNovelty,6
8,second,systemNovelty,7
9,second,systemNovelty,6
0,first,bodyNovelty,6
1,first,bodyNovelty,6
2,first,bodyNovelty,7
3,first,bodyNovelty,5
4,first,bodyNovelty,7
5,second,bodyNovelty,5
6,second,bodyNovelty,4
7,second,bodyNovelty,6
8,second,bodyNovelty,5
9,second,bodyNovelty,6
0,first,faceNovelty,6
1,first,faceNovelty,7
2,first,faceNovelty,6
3,first,faceNovelty,5
4,first,faceNovelty,7
5,second,faceNovelty,5
6,second,faceNovelty,5
7,second,faceNovelty,5
8,second,faceNovelty,6
9,second,faceNovelty,6
0,first,immediacy,2
1,first,immediacy,2
2,first,immediacy,1
3,first,immediacy,5
4,first,immediacy,5
5,second,immediacy,4
6,second,immediacy,5
7,second,immediacy,3
8,second,immediacy,7
9,second,immediacy,5
0,first,accuracy,2
1,first,accuracy,3
2,first,accuracy,1
3,first,accuracy,4
4,first,accuracy,4
5,second,accuracy,6
6,second,accuracy,3
7,second,accuracy,2
8,second,accuracy,5
9,second,accuracy,5
0,first,learnability,7
1,first,learnability,6
2,first,learnability,5
3,first,learnability,6
4,first,learnability,6
5,second,learnability,6
6,second,learnability,5
7,second,learnability,5
8,second,learnability,6
9,second,learnability,6
0,first,frustration,5
1,first,frustration,5
2,first,frustration,5
3,first,frustration,5
4,first,frustration,2
5,second,frustration,3
6,second,frustration,2
7,second,frustration,2
8,second,frustration,2
9,second,frustration,5
