participants,measure,value
0,SO,5
1,SO,6
2,SO,6
3,SO,6
4,SO,7
5,SO,6
6,SO,6
7,SO,6
8,SO,6
9,SO,6
0,SP1,4
1,SP1,6
2,SP1,6
3,SP1,6
4,SP1,6
5,SP1,6
6,SP1,6
7,SP1,6
8,SP1,7
9,SP1,6
0,SP2,5
1,SP2,7
2,SP2,3
3,SP2,7
4,SP2,7
5,SP2,5
6,SP2,6
7,SP2,5
8,SP2,6
9,SP2,6
0,PNGA,3
1,PNGA,5
2,PNGA,6
3,PNGA,6
4,PNGA,7
5,PNGA,6
6,PNGA,5
7,PNGA,3
8,PNGA,7
9,PNGA,6
0,progress1,6
1,progress1,2
2,progress1,2
3,progress1,5
4,progress1,4
5,progress1,6
6,progress1,6
7,progress1,6
8,progress1,5
9,progress1,5
0,progress2,7
1,progress2,6
2,progress2,7
3,progress2,6
4,progress2,7
5,progress2,5
6,progress2,7
7,progress2,6
8,progress2,7
9,progress2,6
0,participation,3
1,participation,7
2,participation,4
3,participation,7
4,participation,6
5,participation,4
6,participation,7
7,participation,4
8,participation,5
9,participation,6
0,feedback1,7
1,feedback1,7
2,feedback1,4
3,feedback1,7
4,feedback1,7
5,feedback1,6
6,feedback1,6
7,feedback1,5
8,feedback1,6
9,feedback1,6
0,feedback2,7
1,feedback2,7
2,feedback2,6
3,feedback2,7
4,feedback2,7
5,feedback2,6
6,feedback2,5
7,feedback2,5
8,feedback2,6
9,feedback2,6
0,socialPresence,7
1,socialPresence,7
2,socialPresence,5
3,socialPresence,5
4,socialPresence,7
5,socialPresence,6
6,socialPresence,6
7,socialPresence,7
8,socialPresence,7
9,socialPresence,6
0,systemNovelty,6
1,systemNovelty,7
2,systemNovelty,7
3,systemNovelty,5
4,systemNovelty,7
5,systemNovelty,4
6,systemNovelty,5
7,systemNovelty,6
8,systemNovelty,7
9,systemNovelty,6
0,bodyNovelty,6
1,bodyNovelty,6
2,bodyNovelty,7
3,bodyNovelty,5
4,bodyNovelty,7
5,bodyNovelty,5
6,bodyNovelty,4
7,bodyNovelty,6
8,bodyNovelty,5
9,bodyNovelty,6
0,faceNovelty,6
1,faceNovelty,7
2,faceNovelty,6
3,faceNovelty,5
4,faceNovelty,7
5,faceNovelty,5
6,faceNovelty,5
7,faceNovelty,5
8,faceNovelty,6
9,faceNovelty,6
0,immediacy,2
1,immediacy,2
2,immediacy,1
3,immediacy,5
4,immediacy,5
5,immediacy,4
6,immediacy,5
7,immediacy,3
8,immediacy,7
9,immediacy,5
0,accuracy,2
1,accuracy,3
2,accuracy,1
3,accuracy,4
4,accuracy,4
5,accuracy,6
6,accuracy,3
7,accuracy,2
8,accuracy,5
9,accuracy,5
0,learnability,7
1,learnability,6
2,learnability,5
3,learnability,6
4,learnability,6
5,learnability,6
6,learnability,5
7,learnability,5
8,learnability,6
9,learnability,6
0,frustration,5
1,frustration,5
2,frustration,5
3,frustration,5
4,frustration,2
5,frustration,3
6,frustration,2
7,frustration,2
8,frustration,2
9,frustration,5
