participants,order,group,measure,value
0,first,experimental,offlineExperience,6
1,first,experimental,offlineExperience,7
2,first,experimental,offlineExperience,7
3,first,experimental,offlineExperience,7
4,first,experimental,offlineExperience,5
5,second,experimental,offlineExperience,5
6,second,experimental,offlineExperience,6
7,second,experimental,offlineExperience,6
8,second,experimental,offlineExperience,7
9,second,experimental,offlineExperience,7
10,first,control,offlineExperience,6
11,first,control,offlineExperience,7
12,first,control,offlineExperience,6
13,first,control,offlineExperience,6
14,first,control,offlineExperience,7
15,second,control,offlineExperience,4
16,second,control,offlineExperience,3
17,second,control,offlineExperience,5
18,second,control,offlineExperience,7
19,second,control,offlineExperience,7
0,first,experimental,offlineActiveness,7
1,first,experimental,offlineActiveness,5
2,first,experimental,offlineActiveness,7
3,first,experimental,offlineActiveness,4
4,first,experimental,offlineActiveness,5
5,second,experimental,offlineActiveness,7
6,second,experimental,offlineActiveness,4
7,second,experimental,offlineActiveness,5
8,second,experimental,offlineActiveness,7
9,second,experimental,offlineActiveness,7
10,first,control,offlineActiveness,5
11,first,control,offlineActiveness,7
12,first,control,offlineActiveness,6
13,first,control,offlineActiveness,6
14,first,control,offlineActiveness,7
15,second,control,offlineActiveness,7
16,second,control,offlineActiveness,7
17,second,control,offlineActiveness,6
18,second,control,offlineActiveness,5
19,second,control,offlineActiveness,7
0,first,experimental,onlineExperience,7
1,first,experimental,onlineExperience,5
2,first,experimental,onlineExperience,7
3,first,experimental,onlineExperience,4
4,first,experimental,onlineExperience,5
5,second,experimental,onlineExperience,7
6,second,experimental,onlineExperience,6
7,second,experimental,onlineExperience,3
8,second,experimental,onlineExperience,7
9,second,experimental,onlineExperience,7
10,first,control,onlineExperience,6
11,first,control,onlineExperience,7
12,first,control,onlineExperience,5
13,first,control,onlineExperience,6
14,first,control,onlineExperience,5
15,second,control,onlineExperience,6
16,second,control,onlineExperience,6
17,second,control,onlineExperience,6
18,second,control,onlineExperience,7
19,second,control,onlineExperience,7
0,first,experimental,onlineActiveness,6
1,first,experimental,onlineActiveness,3
2,first,experimental,onlineActiveness,7
3,first,experimental,onlineActiveness,2
4,first,experimental,onlineActiveness,4
5,second,experimental,onlineActiveness,6
6,second,experimental,onlineActiveness,3
7,second,experimental,onlineActiveness,4
8,second,experimental,onlineActiveness,7
9,second,experimental,onlineActiveness,7
10,first,control,onlineActiveness,5
11,first,control,onlineActiveness,7
12,first,control,onlineActiveness,5
13,first,control,onlineActiveness,4
14,first,control,onlineActiveness,3
15,second,control,onlineActiveness,4
16,second,control,onlineActiveness,7
17,second,control,onlineActiveness,6
18,second,control,onlineActiveness,4
19,second,control,onlineActiveness,7
0,first,experimental,importanceNVOff,6
1,first,experimental,importanceNVOff,6
