meeting,kind,value
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,6
offline,0,7
offline,0,5
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,6
offline,0,6
offline,0,7
offline,0,4
offline,0,7
offline,0,5
offline,0,7
offline,0,7
offline,0,5
offline,0,7
offline,0,7
offline,0,6
offline,0,6
offline,0,5
offline,0,6
offline,0,6
offline,0,5
offline,0,7
offline,0,5
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,7
offline,0,7
online,0,7
online,0,7
online,0,5
online,0,6
online,0,6
online,0,7
online,0,6
online,0,6
online,0,2
online,0,5
online,0,7
online,0,7
online,0,5
online,0,6
online,0,6
online,0,5
online,0,5
online,0,7
online,0,7
online,0,2
online,0,2
online,0,5
online,0,5
online,0,6
online,0,6
online,0,5
online,0,3
online,0,6
online,0,6
online,0,7
online,0,7
online,0,5
online,0,7
online,0,6
online,0,7
online,0,6
online,0,6
online,0,4
offline,1,7
offline,1,7
offline,1,7
offline,1,6
offline,1,7
offline,1,7
offline,1,7
offline,1,6
offline,1,5
offline,1,5
offline,1,6
offline,1,7
offline,1,6
offline,1,6
offline,1,7
offline,1,6
offline,1,6
offline,1,7
offline,1,6
offline,1,5
offline,1,5
offline,1,3
offline,1,7
offline,1,7
offline,1,6
offline,1,6
offline,1,6
offline,1,5
offline,1,5
offline,1,5
offline,1,7
offline,1,7
offline,1,7
offline,1,6
offline,1,7
offline,1,5
offline,1,7
offline,1,7
online,1,7
online,1,7
online,1,6
online,1,4
online,1,7
online,1,7
online,1,6
online,1,6
online,1,1
online,1,4
online,1,4
online,1,7
online,1,6
online,1,6
online,1,6
online,1,4
online,1,5
online,1,7
online,1,6
online,1,1
online,1,1
online,1,3
online,1,4
online,1,6
online,1,7
online,1,3
online,1,4
online,1,3
online,1,6
online,1,7
online,1,7
online,1,5
online,1,6
online,1,5
online,1,7
online,1,4
online,1,5
online,1,3
